title,authors,url,year
"Exposure toTrypanosoma cruziandLeishmaniaparasites in dogs from a rural locality of Yucatan,Mexico. A serological survey","Enrique Reyes-Novelo, Carlos Sauri-Arceo, Francisco J. Escobedo-Ortegón",No URL found,2023
Trypanosoma cruziandLeishmaniaspp. in rodents in a peri-urban area of CentralMexico,"Diana Orduña-Mayares, Norma Hernández-Camacho, Brenda Camacho-Macías",No URL found,2022
Combined use of real-time PCR and serological techniques for improved surveillance of chronic and acute American trypanosomiasis in dogs and their owners from an endemic rural area of NeotropicalMexico,"José I. Chan-Pérez, Juan F. J. Torres-Acosta, Matilde Jiménez-Coello",https://www.sciencedirect.com/science/article/pii/S2667114X22000073/pdfft?md5=14547c16313c1d9dcb11d874b9192a2f&pid=1-s2.0-S2667114X22000073-main.pdf,2022
Heterorhabditis indica (Nematoda: Rhabditida) a possible new biological control agent against the vector of Chagas disease,"Selene Smith-Ávila, Carlos N. Ibarra-Cerdeña, Víctor Manuel Vidal-Martínez",https://www.sciencedirect.com/science/article/pii/S0001706X2400144X/pdfft?md5=db891d0a5452eef18b97ce24ef98a06d&pid=1-s2.0-S0001706X2400144X-main.pdf,2024
"Revised New World bioregions and environmental correlates for vectors of Chagas disease (Hemiptera, Triatominae)","Mireya Gomez, Wilfredo A. Matamoros, Christopher W. Hoagstrom",https://www.sciencedirect.com/science/article/pii/S0001706X23002498/pdfft?md5=d7ad2f09e5350837f75283f378ea5ab8&pid=1-s2.0-S0001706X23002498-main.pdf,2024
Phylogenetic diversity of two commonTrypanosoma cruzilineages in the Southwestern United States,"Carlos A. Flores-López, Elizabeth A. Mitchell, Carlos A. Machado",https://www.sciencedirect.com/science/article/pii/S156713482200048X/pdfft?md5=af07aab57dc2a981b38a993ebd168406&pid=1-s2.0-S156713482200048X-main.pdf,2022
Acute toxicity of two insecticides on two species of Chagas disease vectors,"Reyna Vargas-Abasolo, Ana E. Gutiérrez-Cabrera, Jose D. Rivera",https://www.sciencedirect.com/science/article/pii/S0001706X23000931/pdfft?md5=5e63b30741aa226d9508b482d5209635&pid=1-s2.0-S0001706X23000931-main.pdf,2023
"Molecular data confirmTriatoma pallidipennisStål, 1872 (Hemiptera: Reduviidae: Triatominae) as a novel cryptic species complex","Daryl D. Cruz, Elizabeth Arellano",https://www.sciencedirect.com/science/article/pii/S0001706X22000808/pdfft?md5=cacb34dc2de54ae6ac12e04e37b8af24&pid=1-s2.0-S0001706X22000808-main.pdf,2022
Veterinary Chagas Disease (American Trypanosomiasis) in the United States,"Sarah A. Hamer, Ashley B. Saunders",https://www.sciencedirect.com/science/article/pii/S0195561622000833/pdfft?md5=ad79ced6a5a7664b0677713add9367da&pid=1-s2.0-S0195561622000833-main.pdf,2022
"Chapter 15: Genetics of the Triatominae (Hemiptera: Reduviidae), Vectors of Chagas Disease","S. F. Brenière, E. Waleckx, P. L. Dorn",https://www.sciencedirect.com/science/article/pii/B978044328818000001X/pdfft?md5=107500ee567771201923fd7f8a98f282&pid=3-s2.0-B978044328818000001X-main.pdf,2024
Evaluation of the effectiveness of fluralaner against adult stages ofRhodnius prolixusin dogs,"Antonio Ortega-Pacheco, Anabel Poot-Ramos, Matilde Jiménez-Coello",https://www.sciencedirect.com/science/article/pii/S1383576921002269/pdfft?md5=0013b396e0809e1747591ed530c52071&pid=1-s2.0-S1383576921002269-main.pdf,2022
Trypanosoma cruziExtends Its Transmission Through the Foodborne Pathway,"Belkisyolé Alarcón de Noya, Lucy J. Robertson, Oscar Noya González",https://www.sciencedirect.com/science/article/pii/B9780128225219001490/pdfft?md5=ce0310854e551c8c998f32c23767cc7c&pid=3-s2.0-B9780128225219001490-main.pdf,2024
A convolutional neural network to recognize Chagas disease vectors using mobile phone images,"Joaquín Cochero, Lorenzo Pattori, Gerardo Marti",https://www.sciencedirect.com/science/article/pii/S157495412200036X/pdfft?md5=f7fcc00c5d4c3500d0084b48388b3b23&pid=1-s2.0-S157495412200036X-main.pdf,2022
Eco-epidemiology of vectorialTrypanosoma cruzitransmission in a region of northeast Brazil,"Flavia Santos, Jairo Torres Magalhães-Junior, Carlos Roberto Franke",https://www.sciencedirect.com/science/article/pii/S0001706X21003624/pdfft?md5=fea80787b0c7bdf1a43bcab5b8d75a4a&pid=1-s2.0-S0001706X21003624-main.pdf,2022
"Risk of a vector-borne endemic zoonosis for wildlife: Hosts, large-scale geography, and diversity of vector-host interactions forTrypanosoma cruzi","Laura Rengifo-Correa, Ángel Rodríguez-Moreno, Constantino González-Salazar",https://www.sciencedirect.com/science/article/pii/S0001706X24000019/pdfft?md5=1094c7c35f3f474af596854494022102&pid=1-s2.0-S0001706X24000019-main.pdf,2024
Kissing Bugs (Triatominae),"José A. De Fuentes-Vicente, Ana E. Gutiérrez-Cabrera",https://www.sciencedirect.com/science/article/pii/B9780128187319000100/pdfft?md5=ac4454b4d8af00e06a420571f6c79214&pid=3-s2.0-B9780128187319000100-main.pdf,2022
Benefits and costs of immune memory inRhodnius prolixusagainstTrypanosoma cruzi,"S. P. Carmona-Peña, J. C. Vázquez-Chagoyán, J. Contreras-Garduño",https://www.sciencedirect.com/science/article/pii/S0882401022001188/pdfft?md5=273957cfcc34d58175ecd0715fed4ba4&pid=1-s2.0-S0882401022001188-main.pdf,2022
Chagas Disease: a Review and Perspective on Laboratory Diagnostics in the United States,Jeffrey D. Whitman,No URL found,2023
"Phylogenetic description ofTrypanosoma cruziisolates fromDipetalogaster maxima: Occurrence of TcI, TcIV, and TcIV-USA","Carlos A. Flores-López, Esteban A. Esquivias-Flores, Aldo Guevara-Carrizales",https://www.sciencedirect.com/science/article/pii/S1567134823000631/pdfft?md5=cd69c1fc6e70b7738b061211ffd5cc4c&pid=1-s2.0-S1567134823000631-main.pdf,2023
Chagas disease in Oklahoma,"Nelson Iván Agudelo Higuita, Michael S. Bronze, Susan P. Montgomery",No URL found,2022
Tele-entomology and tele-parasitology: A citizen science-based approach for surveillance and control of Chagas disease in Venezuela,"Lourdes A. Delgado-Noguera, Carlos E. Hernández-Pereira, Alberto E. Paniz Mondolfi",https://www.sciencedirect.com/science/article/pii/S240567312200037X/pdfft?md5=375b162a80fe28ecf348bb55f8c2a2a3&pid=1-s2.0-S240567312200037X-main.pdf,2022
"Disentangling the contributions of biotic and abiotic predictors in the niche and the species distribution model of Trypanosoma cruzi, etiological agent of Chagas disease","Laura Rengifo-Correa, Constantino González-Salazar, Christopher R. Stephens",https://www.sciencedirect.com/science/article/pii/S0001706X2200448X/pdfft?md5=e3f0df08a47cb377b7d531a206bff880&pid=1-s2.0-S0001706X2200448X-main.pdf,2023
Geometric morphometrics and ecological niche modelling for delimitation ofTriatoma pallidipennis(Hemiptera: Reduviidae: Triatominae) haplogroups,"Daryl D. Cruz, Sandra Milena Ospina-Garcés, Raúl Alcalá",https://www.sciencedirect.com/science/article/pii/S2667114X23000079/pdfft?md5=cff3e6bd3d2826da8a03ba3780b9b0f9&pid=1-s2.0-S2667114X23000079-main.pdf,2023
Spatial distribution ofTriatoma dimidiataperidomestic colonies modulated by distance between susceptible microhabitat patches,"Daniel Chan-Espinoza, Hugo A. Ruiz-Piña, Enrique Reyes-Novelo",https://www.sciencedirect.com/science/article/pii/S0001706X24000536/pdfft?md5=99a8edbdae3845cc7a75cab6123dfde4&pid=1-s2.0-S0001706X24000536-main.pdf,2024
