title,authors,url,year
In vitroactivity and mechanism of cell death induction of cyanomethyl vinyl ethers derivatives againstTrypanosoma cruzi,"Carlos J. Bethencourt-Estrella, Samuel Delgado-Hernández, José E. Piñero",https://www.sciencedirect.com/science/article/pii/S2211320723000167/pdfft?md5=74596ea5137f8bbacadef56caddfca1f&pid=1-s2.0-S2211320723000167-main.pdf,2023
Privileged small molecules against neglected tropical diseases: A perspective from structure activity relationships,"J. Abbasi Shiran, B. Kaboudin, N. Razzaghi-Asl",https://www.sciencedirect.com/science/article/pii/S0223523424002769/pdfft?md5=f3e3d956269c07c79bc87c94c1a10741&pid=1-s2.0-S0223523424002769-main.pdf,2024
Non-thermal technologies for the conservation of açai pulp and derived products: A comprehensive review,"Danyelly Silva Amorim, Isabelly Silva Amorim, Carla Rosane Barboza Mendonça",https://www.sciencedirect.com/science/article/pii/S0963996923011237/pdfft?md5=b7e85e1a669a10b7e7bb8f345f7ec13f&pid=1-s2.0-S0963996923011237-main.pdf,2023
Thiazolidin-4-one-based derivatives – Efficient tools for designing antiprotozoal agents. A review of the last decade,"Helena Tuszewska, Jacek Szczepański, Nazar Trotsko",https://www.sciencedirect.com/science/article/pii/S0045206823000585/pdfft?md5=4c4973f7b63469d566e3a5c98a97bf49&pid=1-s2.0-S0045206823000585-main.pdf,2023
Antiprotozoal compounds fromMikania periplocifolia(Asteraceae),"Laura C. Laurella, Orlando G. Elso, Valeria P. Sülsen",https://www.sciencedirect.com/science/article/pii/S0367326X23000746/pdfft?md5=2f1fbfb60c052a17fc9f6dfd999c4b2c&pid=1-s2.0-S0367326X23000746-main.pdf,2023
Exploring microalgal and cyanobacterial metabolites with antiprotozoal activity againstLeishmaniaandTrypanosomaparasites,"Ângelo Paggi Matos, Flávia Marisa Prado Saldanha-Corrêa, Gabriela Ramos Hurtado",https://www.sciencedirect.com/science/article/pii/S0001706X23003030/pdfft?md5=4c68dcc58ba706b895f4c3529262976b&pid=1-s2.0-S0001706X23003030-main.pdf,2024
Elucidating the structure-function attributes of a trypanosomal arginyl-tRNA synthetase,"Pratyasha Bhowal, Bappaditya Roy, Rajat Banerjee",https://www.sciencedirect.com/science/article/pii/S0166685123000555/pdfft?md5=b9847bd4d22d5fdbf68377d13e6d56e6&pid=1-s2.0-S0166685123000555-main.pdf,2023
ExploringN-myristoyltransferase as a promising drug target against parasitic neglected tropical diseases,"Igor José dos Santos Nascimento, Misael de Azevedo Teotônio Cavalcanti, Ricardo Olimpio de Moura",https://www.sciencedirect.com/science/article/pii/S0223523423005160/pdfft?md5=6d164bba87ecc50170d6fdcff192fc5e&pid=1-s2.0-S0223523423005160-main.pdf,2023
"RCB-4, a novel cyclic peptide, fromRicinus communiswith anti-Trypanosoma cruziactivities","Francianne Galossi-de-Souza, Laís Pessanha de Carvalho, Olga Lima Tavares Machado",https://www.sciencedirect.com/science/article/pii/S0022286023024936/pdfft?md5=b6c6c522a3f19e707eb17ce3b42cb1f1&pid=1-s2.0-S0022286023024936-main.pdf,2024
A multi-omics approach for understanding blood digestion dynamics inIxodes scapularisand identification of anti-tick vaccine targets,"Jeremiah B. Reyes, Molly McVicar, Monika Gulia-Nuss",https://www.sciencedirect.com/science/article/pii/S1877959X24000724/pdfft?md5=b3d85f71955aebabbb5fad285334949f&pid=1-s2.0-S1877959X24000724-main.pdf,2024
